u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at,product_category
CSBBYOQN,Seagate Laptop 500 GB Laptop Internal Hard Disk Drive (HDD) (Sata),1799,3999,55% off,0,0,0,"['Type: HDD', 'Interface: SATA', 'Form Factor: 2.5 Inch', 'Capacity: 500 GB', 'Laptop']",https://www.flipkart.com/seagate-laptop-500-gb-internal-hard-disk-drive-hdd-sata/p/itmfd4gxstgguc2h?pid=IHDFD28HBGAJC8QB&lid=LSTIHDFD28HBGAJC8QB7ZNJ5T&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_150&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDFD28HBGAJC8QB.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:30.976255+05:30,HDD
JRBC65TV,WD My Passport 1 TB External Hard Disk Drive (HDD),3799,8120,53% off,29084,2636,4.4,"['Portable Hard Drive', 'Capacity: 1 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-1-tb-external-hard-disk-drive-hdd/p/itm49af26ca1ad50?pid=ACCFH7XCF2FAQQ2A&lid=LSTACCFH7XCF2FAQQ2APHKVSD&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_151&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVLVBcHQLk0hNQP%2FcVexsNtM6%2Ffr9apP%2BUJ3od%2B3Twqr7w%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:31.129160+05:30,HDD
OK6X6CHD,WD My Passport 2 TB External Hard Disk Drive (HDD),5199,8385,37% off,29084,2636,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-2-tb-external-hard-disk-drive-hdd/p/itm5b99655b2db2c?pid=ACCFH7XCSJRDF2DK&lid=LSTACCFH7XCSJRDF2DKPWATKL&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_152&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVJMPAjwB%2F7ErUMpE2bsUqu%2BpA9i0wKvLoVlogVwGO%2BKdA%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:31.285999+05:30,HDD
BZOBMW2I,Seagate Basic Portable STJL4000400 4 TB External Hard Disk Drive (HDD),7699,13499,42% off,650,40,4.4,"['Portable Hard Drive', 'Capacity: 4 TB', 'Connectivity: USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/seagate-basic-portable-stjl4000400-4-tb-external-hard-disk-drive-hdd/p/itmb2ebd79cceda9?pid=ACCGF37AGDGZZGEH&lid=LSTACCGF37AGDGZZGEHGMJL7Q&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_153&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.ACCGF37AGDGZZGEH.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:31.461237+05:30,HDD
SS3TBN7H,WD SATA 2 TB Surveillance Systems Internal Hard Disk Drive (HDD) (Western Digital Purple Internal Surv...,4800,9037,46% off,249,24,4,"['Type: HDD', 'Interface: SATA III', 'Form Factor: 3.5 inch', 'Capacity: 2 TB', 'Surveillance Systems']",https://www.flipkart.com/wd-sata-2-tb-surveillance-systems-internal-hard-disk-drive-hdd-western-digital-purple-wd20purz/p/itme730370ea0f6a?pid=IHDFKYJUCZW5G7YD&lid=LSTIHDFKYJUCZW5G7YDP3IQZ5&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_154&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDFKYJUCZW5G7YD.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:31.708446+05:30,HDD
MVTU30Z5,WD cavier oem 250 GB Desktop Internal Hard Disk Drive (HDD) (wd2500ap),1390,1499,7% off,123,20,3.6,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 250 GB', 'Desktop']",https://www.flipkart.com/wd-cavier-oem-250-gb-desktop-internal-hard-disk-drive-hdd-wd2500ap/p/itm9f309134c1f90?pid=IHDGF4W7FNW9YEBH&lid=LSTIHDGF4W7FNW9YEBHGPIXBP&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_155&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDGF4W7FNW9YEBH.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:32.473823+05:30,HDD
WRUDBAU9,"Seagate Barracuda - 3.5 inch SATA 6 Gb/s, 5400 RPM, 256 MB Cache 2 TB Desktop Internal Hard Disk Drive...",4739,5999,21% off,114,13,3.6,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 2 TB', 'Desktop', '2 Years Limited Warranty']",https://www.flipkart.com/seagate-barracuda-3-5-inch-sata-6-gb-s-5400-rpm-256-mb-cache-2-tb-desktop-internal-hard-disk-drive-hdd-st2000dm005/p/itmfayzuehbej67g?pid=IHDG6EZX7SPKYRPP&lid=LSTIHDG6EZX7SPKYRPP9QHIMS&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_156&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDG6EZX7SPKYRPP.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:32.724035+05:30,HDD
22JWL6YC,WD My Passport 5 TB External Hard Disk Drive (HDD),8599,20000,57% off,29084,2636,4.4,"['Portable Hard Drive', 'Capacity: 5 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-5-tb-external-hard-disk-drive-hdd/p/itmcfbc6e4e2713f?pid=ACCFH7XCDNVV7YFJ&lid=LSTACCFH7XCDNVV7YFJHCKEQL&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_157&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVI%2FdBnirT4lM4F6QXuV0swAiYaZUZHgnWdDTS1CgKI9iQ%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:32.876728+05:30,HDD
ISZUJ5ON,WD My Passport 2 TB External Hard Disk Drive (HDD),5099,8385,39% off,29084,2636,4.4,"['Portable Hard Drive', 'Capacity: 2 TB', 'Connectivity: USB 2.0, USB 3.0', '3 Years Limited Warranty']",https://www.flipkart.com/wd-my-passport-2-tb-external-hard-disk-drive-hdd/p/itm07a1c9ee6d776?pid=ACCFH7XCHDGQGGFG&lid=LSTACCFH7XCHDGQGGFGVTWPJ7&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_158&otracker=browse&fm=organic&iid=en_%2BplJfdrpuX3rCgR0f6ZvUiuqZQI7bBTjNZJ%2BqFUzRVJ8Osy4U5jUcIzIXNSTNCO6pjotn4DCebFRJY466thUqQ%3D%3D&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:33.030074+05:30,HDD
CGEXJWI0,WD Purple 1 TB Surveillance Systems Internal Hard Disk Drive (HDD) (Purple 1 TB Surveillance Systems I...,3334,4934,32% off,10,0,3.4,"['Type: HDD', 'Interface: SATA', 'Form Factor: 3.5 inch', 'Capacity: 1 TB', 'Surveillance Systems']",https://www.flipkart.com/wd-purple-1-tb-surveillance-systems-internal-hard-disk-drive-hdd-purple-wd10purx-64e5y0/p/itm567ebd4a36ae3?pid=IHDFXF924KU4KBZN&lid=LSTIHDFXF924KU4KBZNLVLREX&marketplace=FLIPKART&store=6bo%2Fjdy%2Fnl6&srno=b_7_159&otracker=browse&fm=organic&iid=4761e39d-864a-4770-a0af-d8e4437685e2.IHDFXF924KU4KBZN.SEARCH&ppt=None&ppn=None&ssid=bhzedm8dao0000001666437206182,2022-10-22 16:42:33.334530+05:30,HDD
