name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,created_at
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,50320,62900,20% off,77,18,3.9,"['Operating System: Tizen', 'Full HD 1920 x 1080 Pixels', '1 Year Standard Warranty and 1 Year Warranty on Panel']",2022-09-24 23:32:57.894542+05:30
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,7829,21999,64% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '3 Years of warranty']",2022-09-24 23:32:57.895544+05:30
Akai 80 cm (32 inch) HD Ready LED Smart Android TV,11699,24990,53% off,0,0,0,"['Operating System: Android', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty Provided by Manufacturer from Date of Purchase']",2022-09-24 23:32:57.895544+05:30
SAMSUNG 139 cm (55 inch) QLED Ultra HD (4K) Smart Tizen TV,134990,199990,32% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Manufacturer Warranty on Product and 1 Year Additional Warranty on Panel']",2022-09-24 23:32:57.895544+05:30
IMPEX AU10 108 cm (43 inch) Full HD LED Smart Android TV,32493,49990,35% off,0,0,0,"['Operating System: Android', 'Full HD 1920x1080 Pixels', '""Units and components contained there in warranteed against defective material   Workmanship for a period of 2 years from the date of purchase.""']",2022-09-24 23:32:57.895544+05:30
Adsun 80 cm (32 inch) HD Ready LED TV,6653,16999,60% off,10778,1544,3.8,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:57.896543+05:30
SAMSUNG BU8570UL 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,66699,94900,29% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']",2022-09-24 23:32:57.896543+05:30
SAMSUNG 139 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,52990,70900,25% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']",2022-09-24 23:32:57.896543+05:30
SAMSUNG QN90BAKL 163 cm (65 inch) QLED Ultra HD (4K) Smart Tizen TV,219400,304900,28% off,0,0,0,"['Operating System: Tizen', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and 1 Year Additional on Panel']",2022-09-24 23:32:57.897543+05:30
Adsun 98.9 cm (39 inch) HD Ready LED Smart Android Based TV,11519,22999,49% off,10778,1544,3.8,"['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Warranty on Product']",2022-09-24 23:32:57.897543+05:30
DETEL 108 cm (43 inch) Full HD LED Smart Android TV,23147,44900,48% off,75,6,4.1,"['Operating System: Android', 'Full HD 1920 x 1080 Pixels', '1 Year Manufacturer Warranty']",2022-09-24 23:32:57.897543+05:30
