u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
FC8ERUUD,Lloyd 1.5 Ton 5 Star Split Inverter AC  - White,36999,61990,40% off,884,181,4.3,"['Power Consumption: 864.66 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",https://www.flipkart.com/lloyd-1-5-ton-5-star-split-inverter-ac-white/p/itm7f5ee474c8186?pid=ACNGCPHUEZXBDTZY&lid=LSTACNGCPHUEZXBDTZYBPEK7Q&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_GE5KJQctAS4HhodWz33lo%2BrtfDdaXWCsoV1kPtoAoXZkzZgLMtU88958TsU%2F97yND2lVQX2QswjWEaPHpUPjNA%3D%3D&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:18.832080+05:30
SAUYICJY,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,36490,50600,27% off,11518,1399,4.3,"['Power Consumption: 990 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",https://www.flipkart.com/panasonic-1-ton-5-star-split-inverter-ac-wi-fi-connect-white/p/itm814438d6f33f3?pid=ACNGB9GHZNAGQ4FY&lid=LSTACNGB9GHZNAGQ4FYNIOPRL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_GE5KJQctAS4HhodWz33lo%2BrtfDdaXWCsoV1kPtoAoXYDicqsmM5qeCtEIAlpo09%2FoKvm2XIrRG7vDcDAuXxoBg%3D%3D&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:19.320617+05:30
8KZ7VTV7,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,37499,73990,49% off,4186,427,4.2,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-5-star-split-inverter-ac-white/p/itm58bad921e1c0b?pid=ACNGDE8KYPYMRVNT&lid=LSTACNGDE8KYPYMRVNTIUI0SN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNGDE8KYPYMRVNT.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:19.707496+05:30
P461UB76,LG Super Convertible 5-in-1 Cooling 1.5 Ton 3 Star Hot and Cold Split Dual Inverter HD Filter with Ant...,40300,79990,49% off,14,1,4.4,"['Power Consumption: 1015.7 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",https://www.flipkart.com/lg-super-convertible-5-in-1-cooling-1-5-ton-3-star-hot-cold-split-dual-inverter-hd-filter-anti-virus-protection-ac-white/p/itm459f6340f41c3?pid=ACNGGP6UHGXADFJG&lid=LSTACNGGP6UHGXADFJG9WU1OJ&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNGGP6UHGXADFJG.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:19.903721+05:30
IJSHTEMY,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,32990,61990,46% off,4186,427,4.2,"['Power Consumption: 1690 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm7861cd35e658c?pid=ACNGDCRYNXG75SKZ&lid=LSTACNGDCRYNXG75SKZMWSBUL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNGDCRYNXG75SKZ.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:20.681358+05:30
NDK9ZLT4,Blue Star 0.8 Ton 3 Star Split Inverter AC  - White,27999,39500,29% off,5329,648,4.3,"['Power Consumption: 521.6 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 10 Years Warranty on Compressor From Blue Star']",https://www.flipkart.com/blue-star-0-8-ton-3-split-inverter-ac-white/p/itm96a767425b96f?pid=ACNFWQDESXK3EKHC&lid=LSTACNFWQDESXK3EKHCAV4N3C&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNFWQDESXK3EKHC.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:20.835083+05:30
FGQO5H3S,MarQ by Flipkart Convertible 4-in-1 Cooling 1.5 Ton 3 Star Split Inverter AC  - White,28499,51999,45% off,3043,408,4,"['Power Consumption: 1056.45 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart']",https://www.flipkart.com/marq-flipkart-convertible-4-in-1-cooling-1-5-ton-3-star-split-inverter-ac-white/p/itm4962670e7de48?pid=ACNG8D5DH8UKWDYG&lid=LSTACNG8D5DH8UKWDYGIDAN2N&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNG8D5DH8UKWDYG.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:21.278929+05:30
035P6E7G,Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,30980,51990,40% off,597,124,4.3,"['Power Consumption: 918.14 kWh', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",https://www.flipkart.com/lloyd-1-2-ton-3-star-split-inverter-ac-white/p/itm9fea5e603d34c?pid=ACNGC3PGMS9PDNXQ&lid=LSTACNGC3PGMS9PDNXQG1ODIU&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_GE5KJQctAS4HhodWz33lo%2BrtfDdaXWCsoV1kPtoAoXYuS%2F5jA%2Fyg0j8edDS%2BnTYLZvUUT8bGgxfpV7qtTONPQw%3D%3D&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:21.520106+05:30
GVKS5Y75,Daikin 1.5 Ton 3 Star Split AC with PM 2.5 Filter  - White,37900,55600,31% off,82,2,4.3,"['Power Consumption: 1304 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years on Condenser, and 5 Years on Compressor']",https://www.flipkart.com/daikin-1-5-ton-3-star-split-ac-pm-2-5-filter-white/p/itm147682a8f02c7?pid=ACNGDSAZTGEFFQSA&lid=LSTACNGDSAZTGEFFQSASK6EJL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNGDSAZTGEFFQSA.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:22.151771+05:30
N78D6AF1,Voltas 1.5 Ton 4 Star Split Inverter AC  - White,34990,69990,50% off,4186,427,4.2,"['Power Consumption: 1540 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-4-star-split-inverter-ac-white/p/itmc3dc76ba01e13?pid=ACNGDE8KXHYRXBRV&lid=LSTACNGDE8KXHYRXBRVLMEF1T&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=f075124e-2719-40fa-961a-63f7259799c4.ACNGDE8KXHYRXBRV.SEARCH&ppt=None&ppn=None&ssid=pfrpopgjtc0000001667495308657&qH=e2075474294983e0,2022-11-03 22:38:22.322948+05:30
