u_id,name,offer_price,original_price,off_now,total_ratings,total_reviews,rating,description,item_link,created_at
09RHEG99,Lloyd 1.2 Ton 3 Star Split Inverter AC  - White,30980,51990,40% off,611,127,4.3,"['Power Consumption: 918.14 kWh', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",https://www.flipkart.com/lloyd-1-2-ton-3-star-split-inverter-ac-white/p/itm9fea5e603d34c?pid=ACNGC3PGMS9PDNXQ&lid=LSTACNGC3PGMS9PDNXQG1ODIU&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_w2%2FjSXWxANvOfg34xW0uRMb7Q688drY9uuCsjL6EH4RvpmUImmUjL5gO%2Fp6AR0L5zSaoUnmW1c8hgP90oUnUDQ%3D%3D&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:14.058650+05:30
Q8B4SXE7,Panasonic 1 Ton 5 Star Split Inverter AC with Wi-fi Connect  - White,36490,50600,27% off,11597,1416,4.3,"['Power Consumption: 990 W', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty, 4 Years on PCB and 9 Years on Compressor']",https://www.flipkart.com/panasonic-1-ton-5-star-split-inverter-ac-wi-fi-connect-white/p/itm814438d6f33f3?pid=ACNGB9GHZNAGQ4FY&lid=LSTACNGB9GHZNAGQ4FYNIOPRL&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=en_w2%2FjSXWxANvOfg34xW0uRMb7Q688drY9uuCsjL6EH4So7tfMu0%2FLzBqal8BDnbJmoKvm2XIrRG7vDcDAuXxoBg%3D%3D&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:14.205956+05:30
RJN437SG,Voltas 1.5 Ton 5 Star Split Inverter AC  - White,38499,73990,47% off,4362,445,4.2,"['Power Consumption: 1450 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-5-star-split-inverter-ac-white/p/itm58bad921e1c0b?pid=ACNGDE8KYPYMRVNT&lid=LSTACNGDE8KYPYMRVNTIUI0SN&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNGDE8KYPYMRVNT.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:14.346451+05:30
OGS7INI7,MarQ by Flipkart Convertible 4-in-1 Cooling 1.5 Ton 3 Star Split Inverter AC  - White,28999,51999,44% off,3070,409,4,"['Power Consumption: 1056.45 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart']",https://www.flipkart.com/marq-flipkart-convertible-4-in-1-cooling-1-5-ton-3-star-split-inverter-ac-white/p/itm4962670e7de48?pid=ACNG8D5DH8UKWDYG&lid=LSTACNG8D5DH8UKWDYGIDAN2N&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNG8D5DH8UKWDYG.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:14.524610+05:30
N60LEUCO,Voltas 1.5 Ton 3 Star Split Inverter AC  - White,33030,61990,46% off,4362,445,4.2,"['Power Consumption: 1690 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itm7861cd35e658c?pid=ACNGDCRYNXG75SKZ&lid=LSTACNGDCRYNXG75SKZIFGE0E&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNGDCRYNXG75SKZ.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:14.738779+05:30
WWYEX3HX,SAMSUNG Convertible 5-in-1 Cooling Mode 1.5 Ton 5 Star Split Inverter Anti Bacteria Filter AC  - White,37999,65990,42% off,47,4,4.3,"['Power Consumption: 1380 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']",https://www.flipkart.com/samsung-convertible-5-in-1-cooling-mode-1-5-ton-5-star-split-inverter-anti-bacteria-filter-ac-white/p/itmcc9b36903714d?pid=ACNGF3H67ZY8QB5M&lid=LSTACNGF3H67ZY8QB5M4VCDLP&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNGF3H67ZY8QB5M.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:15.304083+05:30
EKXFDZOS,Voltas 0.75 Ton 3 Star Split AC  - White,25990,48990,46% off,117,10,4.1,"['Power Consumption: 940 W', 'Room Size: 90 sqft or Below', '1 Year on Air Conditioner and 1 Year on Compressor']",https://www.flipkart.com/voltas-0-75-ton-3-star-split-ac-white/p/itm9cd4ea2e60782?pid=ACNGDN46GGCSFFBK&lid=LSTACNGDN46GGCSFFBK3AKH4H&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNGDN46GGCSFFBK.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:15.447329+05:30
UFFD1JR9,Lloyd 1.2 Ton 5 Star Split Inverter AC  - White,35999,56990,36% off,903,187,4.3,"['Power Consumption: 690.69 kWh', 'Room Size: 91 to 110 sqft', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",https://www.flipkart.com/lloyd-1-2-ton-5-star-split-inverter-ac-white/p/itm660a2c10661fd?pid=ACNGC3PGVBMEHKEZ&lid=LSTACNGC3PGVBMEHKEZCACGKA&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=en_w2%2FjSXWxANvOfg34xW0uRMb7Q688drY9uuCsjL6EH4Ts%2FyWZgp6gANmh2MIdNToFJgHUppitur%2Bl3Xt0WHCcMA%3D%3D&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:15.647367+05:30
DFYVNYTY,Blue Star 0.8 Ton 3 Star Split Inverter AC  - White,27999,39500,29% off,5365,650,4.3,"['Power Consumption: 521.6 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 10 Years Warranty on Compressor From Blue Star']",https://www.flipkart.com/blue-star-0-8-ton-3-split-inverter-ac-white/p/itm96a767425b96f?pid=ACNFWQDESXK3EKHC&lid=LSTACNFWQDESXK3EKHCAV4N3C&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNFWQDESXK3EKHC.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:15.790385+05:30
ERGT04B8,CARRIER 1 Ton 3 Star Split Air Filtration with High Density Filter AC  - White,29999,52590,42% off,7029,768,4.2,"['Power Consumption: 980 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor']",https://www.flipkart.com/carrier-1-ton-3-star-split-air-filtration-high-density-filter-ac-white/p/itm4133fa439e86b?pid=ACNGA3G2VK2CM4HW&lid=LSTACNGA3G2VK2CM4HWN2LUUX&marketplace=FLIPKART&q=ac&store=j9e%2Fabm%2Fc54&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a9feee09-65e2-42c8-ae03-8fb783071e12.ACNGA3G2VK2CM4HW.SEARCH&ppt=None&ppn=None&ssid=0m5u6xwju80000001668102918068&qH=e2075474294983e0,2022-11-10 23:25:15.976713+05:30
